일자(YYYYMMDD),연령,성별,발신지(시도),발신지(시군구),업종
20200312,40,여성,서울,강북구,치킨
20200309,40,남성,서울,강북구,한식
20200316,40,남성,서울,강북구,중식
20200306,40,남성,서울,강북구,한식
20200321,30,여성,서울,강북구,한식
20200314,30,여성,서울,강북구,한식
20200308,50,여성,서울,강북구,한식
20200323,40,남성,서울,강북구,한식
20200325,30,남성,서울,강북구,한식
20200314,30,남성,서울,강북구,한식
20200316,40,여성,서울,강북구,한식
20200318,40,여성,서울,강북구,치킨
20200330,40,여성,서울,강북구,한식
20200318,30,남성,서울,강북구,한식
20200328,30,여성,서울,강북구,한식
20200328,40,남성,서울,강북구,한식
20200307,50,여성,서울,강북구,치킨
20200319,40,여성,서울,강북구,치킨
20200321,50,여성,서울,강북구,치킨
20200324,40,여성,서울,강북구,중식
20200314,50,여성,서울,강북구,한식
20200328,40,남성,서울,강북구,치킨
20200314,50,남성,서울,강북구,한식
20200316,50,여성,서울,강북구,한식
20200320,40,남성,서울,강북구,치킨
20200320,60,여성,서울,강북구,한식
20200320,50,여성,서울,강북구,치킨
20200326,40,여성,서울,강북구,한식
20200314,40,남성,서울,강북구,한식
20200303,40,여성,서울,강북구,치킨
20200315,50,여성,서울,강북구,한식
20200322,30,여성,서울,강북구,한식
20200319,50,여성,서울,강북구,한식
20200326,50,여성,서울,강북구,한식
20200321,40,여성,서울,강북구,한식
20200329,40,남성,서울,강북구,치킨
20200306,50,여성,서울,강북구,치킨
20200306,40,남성,서울,강북구,치킨
20200331,30,남성,서울,강북구,한식
20200328,40,여성,서울,강북구,한식
20200327,50,여성,서울,강북구,한식
20200325,40,남성,서울,강북구,한식
20200302,40,남성,서울,강북구,한식
20200308,40,남성,서울,강북구,한식
20200318,40,남성,서울,강북구,한식
20200328,40,여성,서울,강북구,치킨
20200318,50,여성,서울,강북구,한식
20200330,40,여성,서울,강북구,중식
20200328,50,여성,서울,강북구,치킨
20200321,40,여성,서울,강북구,치킨
20200317,50,남성,서울,강북구,한식
20200303,40,남성,서울,강북구,한식
20200321,40,여성,서울,강북구,중식
20200315,40,여성,서울,강북구,중식
20200303,40,여성,서울,강북구,한식
20200308,40,여성,서울,강북구,치킨
20200310,50,여성,서울,강북구,한식
20200323,50,여성,서울,강북구,한식
20200308,40,여성,서울,강북구,한식
20200319,40,남성,서울,강북구,치킨
20200302,40,여성,서울,강북구,한식
20200327,40,여성,서울,강북구,한식
20200327,40,남성,서울,강북구,한식
20200310,40,남성,서울,강북구,한식
20200301,40,여성,서울,강북구,치킨
20200306,40,여성,서울,강북구,중식
20200310,40,여성,서울,강북구,한식
20200331,50,여성,서울,강북구,한식
20200315,50,남성,서울,강북구,한식
20200322,40,남성,서울,강북구,치킨
20200305,40,남성,서울,강북구,한식
20200316,30,남성,서울,강북구,한식
20200322,40,남성,서울,강북구,중식
20200322,40,여성,서울,강북구,한식
20200311,40,여성,서울,강북구,중식
20200311,40,남성,서울,강북구,치킨
20200311,40,여성,서울,강북구,치킨
20200312,40,여성,서울,강북구,한식
20200317,50,여성,서울,강북구,한식
20200324,40,남성,서울,강북구,한식
20200301,40,남성,서울,강북구,한식
20200328,50,남성,서울,강북구,한식
20200307,40,여성,서울,강북구,한식
20200329,40,여성,서울,강북구,한식
20200314,40,여성,서울,강북구,한식
20200320,40,여성,서울,강북구,한식
20200314,40,여성,서울,강북구,중식
20200330,40,여성,서울,강북구,치킨
20200316,40,여성,서울,강북구,치킨
20200307,50,여성,서울,강북구,한식
20200315,40,여성,서울,강북구,치킨
20200322,40,남성,서울,강북구,한식
20200328,30,남성,서울,강북구,한식
20200331,40,여성,서울,강북구,중식
